Time RPM1 RPM2 RPM3
0.081 0.0 0.0 0.0
0.086 0.0 0.0 0.0
0.088 0.0 0.0 0.0
0.089 0.0 0.0 0.0
0.090 0.0 0.0 0.0
0.184 0.0 0.0 0.0
0.185 0.0 0.0 0.0
0.186 0.0 0.0 0.0
0.188 0.0 0.0 0.0
0.189 0.0 0.0 0.0
0.245 0.0 0.0 0.0
0.246 0.0 0.0 0.0
0.249 0.0 0.0 0.0
0.293 0.0 0.0 0.0
0.293 0.0 0.0 0.0
0.376 0.0 0.0 0.0
0.377 0.0 0.0 0.0
0.378 0.0 0.0 0.0
0.489 0.0 0.0 0.0
0.491 0.0 0.0 0.0
0.492 0.0 0.0 0.0
0.494 0.0 0.0 0.0
0.496 0.0 0.0 0.0
0.499 0.0 0.0 0.0
0.500 0.0 0.0 0.0
0.543 0.0 0.0 0.0
0.544 0.0 0.0 0.0
0.545 0.0 0.0 0.0
0.613 0.0 0.0 0.0
0.613 0.0 0.0 0.0
0.616 0.0 0.0 0.0
0.676 0.0 0.0 0.0
0.677 0.0 0.0 0.0
0.679 0.0 0.0 0.0
0.744 0.0 0.0 0.0
0.746 0.0 0.0 0.0
0.758 0.0 0.0 0.0
0.797 0.0 0.0 0.0
0.799 0.0 0.0 0.0
0.801 0.0 0.0 0.0
0.802 0.0 0.0 0.0
0.904 0.0 0.0 0.0
0.905 0.0 0.0 0.0
0.909 0.0 0.0 0.0
0.910 0.0 0.0 0.0
0.912 0.0 0.0 0.0
1.005 0.0 0.0 0.0
1.006 0.0 0.0 0.0
1.007 0.0 0.0 0.0
1.009 0.0 0.0 0.0
1.010 0.0 0.0 0.0
1.057 0.0 0.0 0.0
1.058 0.0 0.0 0.0
1.059 0.0 0.0 0.0
1.208 0.0 0.0 0.0
1.209 0.0 0.0 0.0
1.210 0.0 0.0 0.0
1.212 0.0 0.0 0.0
1.213 0.0 0.0 0.0
1.214 0.0 0.0 0.0
1.216 0.0 0.0 0.0
1.415 0.0 0.0 0.0
1.416 0.0 0.0 0.0
1.418 0.0 0.0 0.0
1.419 0.0 0.0 0.0
1.420 0.0 0.0 0.0
1.422 0.0 0.0 0.0
1.423 0.0 0.0 0.0
1.425 0.0 0.0 0.0
1.426 0.0 0.0 0.0
1.428 0.0 0.0 0.0
1.472 0.0 0.0 0.0
1.474 0.0 0.0 0.0
1.475 0.0 0.0 0.0
1.521 0.0 0.0 0.0
1.522 0.0 0.0 0.0
1.523 0.0 0.0 0.0
1.571 0.0 0.0 0.0
1.574 0.0 0.0 0.0
1.577 0.0 0.0 0.0
1.764 0.0 0.0 0.0
1.765 0.0 0.0 0.0
1.775 0.0 0.0 0.0
1.777 0.0 0.0 0.0
1.832 0.0 0.0 0.0
1.834 0.0 0.0 0.0
1.859 0.0 0.0 0.0
1.860 0.0 0.0 0.0
1.862 0.0 0.0 0.0
1.864 0.0 0.0 0.0
1.866 0.0 0.0 0.0
1.868 0.0 0.0 0.0
1.926 0.0 0.0 0.0
1.927 0.0 0.0 0.0
1.928 0.0 0.0 0.0
1.930 0.0 0.0 0.0
1.932 0.0 0.0 0.0
1.978 0.0 0.0 0.0
1.980 0.0 0.0 0.0
1.981 0.0 0.0 0.0
2.124 0.0 0.0 0.0
2.128 0.0 0.0 0.0
2.129 0.0 0.0 0.0
2.130 0.0 0.0 0.0
2.133 0.0 0.0 0.0
2.134 0.0 0.0 0.0
2.136 0.0 0.0 0.0
2.265 0.0 0.0 0.0
2.267 0.0 0.0 0.0
2.268 0.0 0.0 0.0
2.269 0.0 0.0 0.0
2.270 0.0 0.0 0.0
2.335 0.0 0.0 0.0
2.337 0.0 0.0 0.0
2.338 0.0 0.0 0.0
2.339 0.0 0.0 0.0
2.340 0.0 0.0 0.0
2.385 0.0 0.0 0.0
2.386 0.0 0.0 0.0
2.387 0.0 0.0 0.0
2.541 0.0 0.0 0.0
2.541 0.0 0.0 0.0
2.542 0.0 0.0 0.0
2.544 0.0 0.0 0.0
2.547 0.0 0.0 0.0
2.548 0.0 0.0 0.0
2.548 0.0 0.0 0.0
2.551 0.0 0.0 0.0
2.603 0.0 0.0 0.0
2.604 0.0 0.0 0.0
2.606 0.0 0.0 0.0
2.747 0.0 0.0 0.0
2.748 0.0 0.0 0.0
2.752 0.0 0.0 0.0
2.755 0.0 0.0 0.0
2.756 0.0 0.0 0.0
2.758 0.0 0.0 0.0
2.760 0.0 0.0 0.0
2.869 0.0 0.0 0.0
2.871 0.0 0.0 0.0
2.873 0.0 0.0 0.0
2.875 0.0 0.0 0.0
2.877 0.0 0.0 0.0
2.901 0.0 0.0 0.0
2.902 0.0 0.0 0.0
2.904 0.0 0.0 0.0
3.071 0.0 0.0 0.0
3.075 0.0 0.0 0.0
3.077 0.0 0.0 0.0
3.079 0.0 0.0 0.0
3.080 0.0 0.0 0.0
3.081 0.0 0.0 0.0
3.082 0.0 0.0 0.0
3.155 0.0 0.0 0.0
3.157 0.0 0.0 0.0
3.159 0.0 0.0 0.0
3.161 0.0 0.0 0.0
3.162 0.0 0.0 0.0
3.165 0.0 0.0 0.0
3.210 0.0 0.0 0.0
3.211 0.0 0.0 0.0
3.356 0.0 0.0 0.0
3.359 0.0 0.0 0.0
3.360 0.0 0.0 0.0
3.361 0.0 0.0 0.0
3.363 0.0 0.0 0.0
3.365 0.0 0.0 0.0
3.369 0.0 0.0 0.0
3.369 0.0 0.0 0.0
3.413 0.0 0.0 0.0
3.414 0.0 0.0 0.0
3.560 0.0 0.0 0.0
3.563 0.0 0.0 0.0
3.571 0.0 0.0 0.0
3.572 0.0 0.0 0.0
3.574 0.0 0.0 0.0
3.578 0.0 0.0 0.0
3.580 0.0 0.0 0.0
3.581 0.0 0.0 0.0
3.762 0.0 0.0 0.0
3.763 0.0 0.0 0.0
3.764 0.0 0.0 0.0
3.765 0.0 0.0 0.0
3.767 0.0 0.0 0.0
3.769 0.0 0.0 0.0
3.770 0.0 0.0 0.0
3.773 0.0 0.0 0.0
3.774 0.0 0.0 0.0
3.775 0.0 0.0 0.0
4.041 0.0 0.0 0.0
4.089 0.0 0.0 0.0
4.090 0.0 0.0 0.0
4.091 0.0 0.0 0.0
4.094 0.0 0.0 0.0
4.096 0.0 0.0 0.0
4.099 0.0 0.0 0.0
4.102 0.0 0.0 0.0
4.104 0.0 0.0 0.0
4.109 0.0 0.0 0.0
4.112 0.0 0.0 0.0
4.113 0.0 0.0 0.0
4.115 0.0 0.0 0.0
4.116 0.0 0.0 0.0
4.120 0.0 0.0 0.0
4.121 0.0 0.0 0.0
4.174 0.0 0.0 0.0
4.175 0.0 0.0 0.0
4.178 0.0 0.0 0.0
4.181 0.0 0.0 0.0
4.183 0.0 0.0 0.0
4.285 0.0 0.0 0.0
4.287 0.0 0.0 0.0
4.292 0.0 0.0 0.0
4.295 0.0 0.0 0.0
4.296 0.0 0.0 0.0
4.492 0.0 0.0 0.0
4.493 0.0 0.0 0.0
4.496 0.0 0.0 0.0
4.497 0.0 0.0 0.0
4.497 0.0 0.0 0.0
4.498 0.0 0.0 0.0
4.499 0.0 0.0 0.0
4.499 0.0 0.0 0.0
4.499 0.0 0.0 0.0
4.500 0.0 0.0 0.0
4.583 0.0 0.0 0.0
4.584 0.0 0.0 0.0
4.586 0.0 0.0 0.0
4.692 0.0 0.0 0.0
4.693 0.0 0.0 0.0
4.694 0.0 0.0 0.0
4.695 0.0 0.0 0.0
4.697 0.0 0.0 0.0
4.699 0.0 0.0 0.0
4.701 0.0 0.0 0.0
4.903 0.0 0.0 0.0
4.905 0.0 0.0 0.0
4.909 0.0 0.0 0.0
4.910 0.0 0.0 0.0
4.912 0.0 0.0 0.0
4.913 0.0 0.0 0.0
4.914 0.0 0.0 0.0
4.915 0.0 0.0 0.0
4.916 0.0 0.0 0.0
4.917 0.0 0.0 0.0
5.097 0.0 0.0 0.0
5.097 0.0 0.0 0.0
5.098 0.0 0.0 0.0
5.099 0.0 0.0 0.0
5.101 0.0 0.0 0.0
5.103 0.0 0.0 0.0
5.105 0.0 0.0 0.0
5.107 0.0 0.0 0.0
5.107 0.0 0.0 0.0
5.108 0.0 0.0 0.0
5.109 0.0 0.0 0.0
5.198 0.0 0.0 0.0
5.199 0.0 0.0 0.0
5.201 0.0 0.0 0.0
5.202 0.0 0.0 0.0
5.204 0.0 0.0 0.0
5.407 0.0 0.0 0.0
5.409 0.0 0.0 0.0
5.412 0.0 0.0 0.0
5.413 0.0 0.0 0.0
5.415 0.0 0.0 0.0
5.417 0.0 0.0 0.0
5.419 0.0 0.0 0.0
5.421 0.0 0.0 0.0
5.422 0.0 0.0 0.0
5.424 0.0 0.0 0.0
5.508 0.0 0.0 0.0
5.509 0.0 0.0 0.0
5.510 0.0 0.0 0.0
5.512 0.0 0.0 0.0
5.513 0.0 0.0 0.0
5.566 0.0 0.0 0.0
5.569 0.0 0.0 0.0
5.570 0.0 0.0 0.0
5.720 0.0 0.0 0.0
5.722 0.0 0.0 0.0
5.723 0.0 0.0 0.0
5.726 0.0 0.0 0.0
5.728 0.0 0.0 0.0
5.731 0.0 0.0 0.0
5.732 0.0 0.0 0.0
5.812 0.0 0.0 0.0
5.813 0.0 0.0 0.0
5.815 0.0 0.0 0.0
5.816 0.0 0.0 0.0
5.817 0.0 0.0 0.0
5.819 0.0 0.0 0.0
5.914 0.0 0.0 0.0
5.916 0.0 0.0 0.0
5.917 0.0 0.0 0.0
5.918 0.0 0.0 0.0
5.921 0.0 0.0 0.0
5.968 0.0 0.0 0.0
5.969 0.0 0.0 0.0
6.126 0.0 0.0 0.0
6.127 0.0 0.0 0.0
6.129 0.0 0.0 0.0
6.131 0.0 0.0 0.0
6.133 0.0 0.0 0.0
6.135 0.0 0.0 0.0
6.136 0.0 0.0 0.0
6.138 0.0 0.0 0.0
6.222 0.0 0.0 0.0
6.224 0.0 0.0 0.0
6.226 0.0 0.0 0.0
6.227 0.0 0.0 0.0
6.229 0.0 0.0 0.0
6.426 0.0 0.0 0.0
6.427 0.0 0.0 0.0
6.428 0.0 0.0 0.0
6.429 0.0 0.0 0.0
6.430 0.0 0.0 0.0
6.431 0.0 0.0 0.0
6.434 0.0 0.0 0.0
6.435 0.0 0.0 0.0
6.436 0.0 0.0 0.0
6.437 0.0 0.0 0.0
6.533 0.0 0.0 0.0
6.536 0.0 0.0 0.0
6.538 0.0 0.0 0.0
6.540 0.0 0.0 0.0
6.541 0.0 0.0 0.0
6.542 0.0 0.0 0.0
6.586 0.0 0.0 0.0
6.588 0.0 0.0 0.0
6.641 0.0 0.0 0.0
6.642 0.0 0.0 0.0
6.644 0.0 0.0 0.0
6.718 0.0 0.0 0.0
6.719 0.0 0.0 0.0
6.839 0.0 0.0 0.0
6.840 0.0 0.0 0.0
6.842 0.0 0.0 0.0
6.843 0.0 0.0 0.0
6.846 0.0 0.0 0.0
6.848 0.0 0.0 0.0
6.849 0.0 0.0 0.0
6.851 0.0 0.0 0.0
6.921 0.0 0.0 0.0
6.923 0.0 0.0 0.0
6.925 0.0 0.0 0.0
7.041 0.0 0.0 0.0
7.042 0.0 0.0 0.0
7.045 0.0 0.0 0.0
7.047 0.0 0.0 0.0
7.048 0.0 0.0 0.0
7.051 0.0 0.0 0.0
7.054 0.0 0.0 0.0
7.123 0.0 0.0 0.0
7.124 0.0 0.0 0.0
7.125 0.0 0.0 0.0
7.141 0.0 0.0 0.0
7.144 0.0 0.0 0.0
7.248 0.0 0.0 0.0
7.249 0.0 0.0 0.0
7.250 0.0 0.0 0.0
7.251 0.0 0.0 0.0
7.252 0.0 0.0 0.0
7.328 0.0 0.0 0.0
7.330 0.0 0.0 0.0
7.332 0.0 0.0 0.0
7.452 0.0 0.0 0.0
7.453 0.0 0.0 0.0
7.455 0.0 0.0 0.0
7.457 0.0 0.0 0.0
7.459 0.0 0.0 0.0
7.462 0.0 0.0 0.0
7.464 0.0 0.0 0.0
7.534 0.0 0.0 0.0
7.535 0.0 0.0 0.0
