Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
7811.000 0.01 -1.59 -0.76 -0.01 0.03 -0.39 0.27 -0.13 9.80
6554.000 0.01 -1.59 -0.76 -0.02 0.01 -0.39 0.27 -0.12 9.80
6150.000 0.01 -1.59 -0.76 -0.01 0.01 -0.39 0.27 -0.12 9.80
5206.000 0.01 -1.59 -0.76 -0.01 0.01 -0.39 0.27 -0.12 9.80
4276.000 0.01 -1.59 -0.76 -0.02 0.01 -0.38 0.27 -0.12 9.80
3637.000 0.01 -1.59 -0.76 -0.01 0.02 -0.37 0.27 -0.12 9.80
3621.000 0.01 -1.59 -0.76 -0.04 0.00 -0.37 0.27 -0.12 9.80
3784.000 0.01 -1.59 -0.76 -0.01 0.00 -0.38 0.27 -0.12 9.80
4235.000 0.01 -1.59 -0.76 0.00 0.00 -0.40 0.27 -0.12 9.80
4325.000 0.01 -1.59 -0.76 -0.01 0.00 -0.38 0.27 -0.12 9.80
4565.000 0.01 -1.59 -0.76 -0.02 0.00 -0.36 0.27 -0.12 9.80
5039.000 0.01 -1.59 -0.76 -0.04 0.02 -0.37 0.27 -0.12 9.80
5144.000 0.01 -1.59 -0.76 0.00 0.00 -0.39 0.27 -0.12 9.80
5368.000 0.01 -1.59 -0.76 0.00 0.04 -0.37 0.27 -0.12 9.80
5497.000 0.01 -1.59 -0.76 0.00 0.01 -0.37 0.27 -0.12 9.80
4294.000 0.01 -1.59 -0.76 -0.03 0.00 -0.39 0.27 -0.12 9.80
3655.000 0.01 -1.59 -0.76 -0.02 0.03 -0.37 0.27 -0.12 9.80
3653.000 0.01 -1.59 -0.76 -0.02 0.00 -0.39 0.27 -0.12 9.80
3648.000 0.01 -1.59 -0.76 -0.01 0.01 -0.35 0.27 -0.12 9.80
3649.000 0.01 -1.59 -0.76 -0.01 0.02 -0.37 0.27 -0.12 9.80
3511.000 0.01 -1.59 -0.76 -0.03 0.00 -0.36 0.27 -0.12 9.80
3658.000 0.01 -1.59 -0.76 -0.01 0.01 -0.37 0.27 -0.12 9.80
3627.000 0.01 -1.59 -0.76 -0.05 0.02 -0.38 0.27 -0.12 9.80
3902.000 0.01 -1.59 -0.76 -0.02 -0.02 -0.37 0.27 -0.12 9.80
4212.000 0.01 -1.59 -0.76 -0.02 0.01 -0.36 0.27 -0.12 9.80
4334.000 0.01 -1.59 -0.76 -0.02 0.01 -0.39 0.27 -0.12 9.80
4813.000 0.01 -1.59 -0.76 -0.01 0.00 -0.36 0.27 -0.12 9.80
5218.000 0.01 -1.59 -0.76 -0.01 0.01 -0.38 0.27 -0.12 9.80
5414.000 0.01 -1.59 -0.76 0.00 -0.01 -0.36 0.27 -0.12 9.80
5864.000 0.01 -1.59 -0.76 -0.01 0.03 -0.40 0.27 -0.12 9.80
6299.000 0.01 -1.59 -0.76 -0.02 0.01 -0.38 0.27 -0.12 9.80
6614.000 0.01 -1.59 -0.76 -0.01 0.01 -0.39 0.27 -0.12 9.80
6819.000 0.01 -1.59 -0.76 -0.04 0.02 -0.34 0.27 -0.12 9.80
7412.000 0.01 -1.59 -0.76 -0.02 0.00 -0.37 0.27 -0.12 9.80
6428.000 0.01 -1.59 -0.76 -0.01 0.02 -0.39 0.27 -0.12 9.80
5996.000 0.01 -1.59 -0.76 -0.01 0.01 -0.37 0.27 -0.12 9.80
4711.000 0.01 -1.59 -0.76 -0.03 0.00 -0.34 0.27 -0.12 9.80
3637.000 0.01 -1.59 -0.76 -0.05 0.00 -0.41 0.27 -0.12 9.80
3743.000 0.01 -1.59 -0.76 -0.05 0.00 -0.37 0.27 -0.12 9.80
3858.000 0.01 -1.59 -0.76 -0.03 0.02 -0.36 0.27 -0.12 9.80
4037.000 0.01 -1.59 -0.76 -0.01 0.02 -0.40 0.27 -0.12 9.80
4214.000 0.01 -1.59 -0.76 -0.02 0.00 -0.39 0.27 -0.12 9.80
4410.000 0.01 -1.59 -0.76 -0.01 0.00 -0.40 0.27 -0.12 9.80
4861.000 0.01 -1.59 -0.76 -0.03 0.00 -0.38 0.27 -0.12 9.80
5243.000 0.01 -1.59 -0.76 -0.03 0.00 -0.36 0.27 -0.12 9.80
5660.000 0.01 -1.59 -0.76 -0.01 0.01 -0.39 0.27 -0.12 9.80
6035.000 0.01 -1.59 -0.76 -0.03 0.00 -0.37 0.27 -0.12 9.80
6277.000 0.01 -1.59 -0.76 -0.03 0.02 -0.41 0.27 -0.12 9.80
6513.000 0.01 -1.59 -0.76 -0.02 -0.02 -0.40 0.27 -0.12 9.80
7025.000 0.01 -1.59 -0.76 0.00 0.00 -0.39 0.27 -0.12 9.80
6371.000 0.01 -1.59 -0.76 -0.03 0.04 -0.41 0.27 -0.12 9.80
5667.000 0.01 -1.59 -0.76 -0.01 -0.01 -0.42 0.27 -0.12 9.80
4686.000 0.01 -1.59 -0.76 -0.01 0.02 -0.38 0.27 -0.12 9.80
3949.000 0.01 -1.59 -0.76 -0.04 0.02 -0.40 0.27 -0.12 9.80
3519.000 0.01 -1.59 -0.76 -0.02 0.00 -0.42 0.27 -0.12 9.80
3639.000 0.01 -1.59 -0.76 0.00 0.01 -0.43 0.27 -0.12 9.80
3933.000 0.01 -1.59 -0.76 0.00 0.02 -0.36 0.27 -0.12 9.80
4097.000 0.01 -1.59 -0.76 -0.01 0.00 -0.40 0.27 -0.12 9.80
4427.000 0.01 -1.59 -0.76 -0.01 0.02 -0.40 0.27 -0.12 9.80
4744.000 0.01 -1.59 -0.76 -0.03 0.02 -0.40 0.27 -0.12 9.80
5105.000 0.01 -1.59 -0.76 -0.01 0.01 -0.40 0.27 -0.12 9.80
5476.000 0.01 -1.59 -0.76 -0.04 0.01 -0.38 0.27 -0.12 9.80
5852.000 0.01 -1.59 -0.76 -0.01 0.03 -0.40 0.27 -0.12 9.80
6040.000 0.01 -1.59 -0.76 -0.04 0.02 -0.38 0.27 -0.12 9.80
6528.000 0.01 -1.59 -0.76 -0.01 0.02 -0.36 0.27 -0.12 9.80
