Time RPM1 RPM2 RPM3
0.003 0.0 0.0 0.0
0.064 0.0 0.0 0.0
0.065 0.0 0.0 0.0
0.068 0.0 0.0 0.0
0.129 0.0 0.0 0.0
0.130 0.0 0.0 0.0
0.132 0.0 0.0 0.0
0.178 0.0 0.0 0.0
0.179 0.0 0.0 0.0
0.181 0.0 0.0 0.0
0.331 0.0 0.0 0.0
0.333 0.0 0.0 0.0
0.334 0.0 0.0 0.0
0.336 0.0 0.0 0.0
0.337 0.0 0.0 0.0
0.338 0.0 0.0 0.0
0.339 0.0 0.0 0.0
0.398 0.0 0.0 0.0
0.399 0.0 0.0 0.0
0.400 0.0 0.0 0.0
0.453 0.0 0.0 0.0
0.456 0.0 0.0 0.0
0.456 0.0 0.0 0.0
0.510 0.0 0.0 0.0
0.511 0.0 0.0 0.0
0.514 0.0 0.0 0.0
0.640 0.0 0.0 0.0
0.643 0.0 0.0 0.0
0.646 0.0 0.0 0.0
0.649 0.0 0.0 0.0
0.650 0.0 0.0 0.0
0.652 0.0 0.0 0.0
0.707 0.0 0.0 0.0
0.710 0.0 0.0 0.0
0.712 0.0 0.0 0.0
0.714 0.0 0.0 0.0
0.773 0.0 0.0 0.0
0.774 0.0 0.0 0.0
0.775 0.0 0.0 0.0
0.817 0.0 0.0 0.0
0.818 0.0 0.0 0.0
0.821 0.0 0.0 0.0
0.867 0.0 0.0 0.0
0.868 0.0 0.0 0.0
1.036 0.0 0.0 0.0
1.037 0.0 0.0 0.0
1.039 0.0 0.0 0.0
1.040 0.0 0.0 0.0
1.041 0.0 0.0 0.0
1.045 0.0 0.0 0.0
1.048 0.0 0.0 0.0
1.050 0.0 0.0 0.0
1.052 0.0 0.0 0.0
1.097 0.0 0.0 0.0
1.099 0.0 0.0 0.0
1.153 0.0 0.0 0.0
1.157 0.0 0.0 0.0
1.160 0.0 0.0 0.0
1.209 0.0 0.0 0.0
1.211 0.0 0.0 0.0
1.214 0.0 0.0 0.0
1.274 0.0 0.0 0.0
1.275 0.0 0.0 0.0
1.277 0.0 0.0 0.0
1.344 0.0 0.0 0.0
1.348 0.0 0.0 0.0
1.350 0.0 0.0 0.0
1.352 0.0 0.0 0.0
1.406 0.0 0.0 0.0
1.412 0.0 0.0 0.0
1.413 0.0 0.0 0.0
1.458 0.0 0.0 0.0
1.460 0.0 0.0 0.0
1.462 0.0 0.0 0.0
1.507 0.0 0.0 0.0
1.509 0.0 0.0 0.0
1.650 0.0 0.0 0.0
1.652 0.0 0.0 0.0
1.655 0.0 0.0 0.0
1.658 0.0 0.0 0.0
1.660 0.0 0.0 0.0
1.662 0.0 0.0 0.0
1.664 0.0 0.0 0.0
1.712 0.0 0.0 0.0
1.714 0.0 0.0 0.0
1.716 0.0 0.0 0.0
1.767 0.0 0.0 0.0
1.771 0.0 0.0 0.0
1.773 0.0 0.0 0.0
1.816 0.0 0.0 0.0
1.820 0.0 0.0 0.0
1.821 0.0 0.0 0.0
2.068 0.0 0.0 0.0
2.070 0.0 0.0 0.0
2.072 0.0 0.0 0.0
2.074 0.0 0.0 0.0
2.075 0.0 0.0 0.0
2.079 0.0 0.0 0.0
2.081 0.0 0.0 0.0
2.083 0.0 0.0 0.0
2.085 0.0 0.0 0.0
2.086 0.0 0.0 0.0
2.087 0.0 0.0 0.0
2.088 0.0 0.0 0.0
2.124 0.0 0.0 0.0
2.126 0.0 0.0 0.0
2.128 0.0 0.0 0.0
2.171 0.0 0.0 0.0
2.173 0.0 0.0 0.0
2.268 0.0 0.0 0.0
2.272 0.0 0.0 0.0
2.273 0.0 0.0 0.0
2.276 0.0 0.0 0.0
2.279 0.0 0.0 0.0
2.328 0.0 0.0 0.0
2.330 0.0 0.0 0.0
2.331 0.0 0.0 0.0
2.471 0.0 0.0 0.0
2.472 0.0 0.0 0.0
2.475 0.0 0.0 0.0
2.477 0.0 0.0 0.0
2.478 0.0 0.0 0.0
2.479 0.0 0.0 0.0
2.481 0.0 0.0 0.0
2.484 0.0 0.0 0.0
2.577 0.0 0.0 0.0
2.579 0.0 0.0 0.0
2.584 0.0 0.0 0.0
2.587 0.0 0.0 0.0
2.588 0.0 0.0 0.0
2.675 0.0 0.0 0.0
2.679 0.0 0.0 0.0
2.682 0.0 0.0 0.0
2.684 0.0 0.0 0.0
2.687 0.0 0.0 0.0
2.882 0.0 0.0 0.0
2.883 0.0 0.0 0.0
2.884 0.0 0.0 0.0
2.890 0.0 0.0 0.0
2.893 0.0 0.0 0.0
2.899 0.0 0.0 0.0
2.900 0.0 0.0 0.0
2.902 0.0 0.0 0.0
2.904 0.0 0.0 0.0
2.905 0.0 0.0 0.0
2.940 0.0 0.0 0.0
2.944 0.0 0.0 0.0
2.948 0.0 0.0 0.0
3.084 0.0 0.0 0.0
3.085 0.0 0.0 0.0
3.088 0.0 0.0 0.0
3.089 0.0 0.0 0.0
3.090 0.0 0.0 0.0
3.092 0.0 0.0 0.0
3.094 0.0 0.0 0.0
3.301 0.0 0.0 0.0
3.303 0.0 0.0 0.0
3.305 0.0 0.0 0.0
3.307 0.0 0.0 0.0
3.309 0.0 0.0 0.0
3.311 0.0 0.0 0.0
3.313 0.0 0.0 0.0
3.316 0.0 0.0 0.0
3.318 0.0 0.0 0.0
3.319 0.0 0.0 0.0
3.358 0.0 0.0 0.0
3.362 0.0 0.0 0.0
3.364 0.0 0.0 0.0
3.366 0.0 0.0 0.0
3.496 0.0 0.0 0.0
3.498 0.0 0.0 0.0
3.500 0.0 0.0 0.0
3.505 0.0 0.0 0.0
3.507 0.0 0.0 0.0
3.508 0.0 0.0 0.0
3.509 0.0 0.0 0.0
3.553 0.0 0.0 0.0
3.556 0.0 0.0 0.0
3.605 0.0 0.0 0.0
3.608 0.0 0.0 0.0
3.610 0.0 0.0 0.0
3.661 0.0 0.0 0.0
3.664 0.0 0.0 0.0
3.665 0.0 0.0 0.0
3.714 0.0 0.0 0.0
3.715 0.0 0.0 0.0
3.717 0.0 0.0 0.0
3.763 0.0 0.0 0.0
3.763 0.0 0.0 0.0
3.903 0.0 0.0 0.0
3.905 0.0 0.0 0.0
3.907 0.0 0.0 0.0
3.913 0.0 0.0 0.0
3.914 0.0 0.0 0.0
3.915 0.0 0.0 0.0
3.916 0.0 0.0 0.0
4.006 0.0 0.0 0.0
4.007 0.0 0.0 0.0
4.009 0.0 0.0 0.0
4.010 0.0 0.0 0.0
4.011 0.0 0.0 0.0
4.061 0.0 0.0 0.0
4.062 0.0 0.0 0.0
4.066 0.0 0.0 0.0
4.210 0.0 0.0 0.0
4.211 0.0 0.0 0.0
4.212 0.0 0.0 0.0
4.213 0.0 0.0 0.0
4.215 0.0 0.0 0.0
4.219 0.0 0.0 0.0
4.220 0.0 0.0 0.0
4.259 0.0 0.0 0.0
4.261 0.0 0.0 0.0
4.262 0.0 0.0 0.0
4.313 0.0 0.0 0.0
4.316 0.0 0.0 0.0
4.317 0.0 0.0 0.0
4.426 0.0 0.0 0.0
4.427 0.0 0.0 0.0
4.430 0.0 0.0 0.0
4.432 0.0 0.0 0.0
4.434 0.0 0.0 0.0
4.481 0.0 0.0 0.0
4.483 0.0 0.0 0.0
4.484 0.0 0.0 0.0
4.532 0.0 0.0 0.0
4.537 0.0 0.0 0.0
4.595 0.0 0.0 0.0
4.599 0.0 0.0 0.0
4.603 0.0 0.0 0.0
4.835 0.0 0.0 0.0
4.837 0.0 0.0 0.0
4.842 0.0 0.0 0.0
4.843 0.0 0.0 0.0
4.844 0.0 0.0 0.0
4.848 0.0 0.0 0.0
4.852 0.0 0.0 0.0
4.853 0.0 0.0 0.0
4.856 0.0 0.0 0.0
4.859 0.0 0.0 0.0
4.859 0.0 0.0 0.0
4.861 0.0 0.0 0.0
4.888 0.0 0.0 0.0
4.890 0.0 0.0 0.0
4.894 0.0 0.0 0.0
5.034 0.0 0.0 0.0
5.035 0.0 0.0 0.0
5.038 0.0 0.0 0.0
5.039 0.0 0.0 0.0
5.040 0.0 0.0 0.0
5.042 0.0 0.0 0.0
5.043 0.0 0.0 0.0
5.092 0.0 0.0 0.0
5.094 0.0 0.0 0.0
5.098 0.0 0.0 0.0
5.234 0.0 0.0 0.0
5.238 0.0 0.0 0.0
5.239 0.0 0.0 0.0
5.241 0.0 0.0 0.0
5.245 0.0 0.0 0.0
5.246 0.0 0.0 0.0
5.251 0.0 0.0 0.0
5.254 0.0 0.0 0.0
5.446 0.0 0.0 0.0
5.449 0.0 0.0 0.0
5.452 0.0 0.0 0.0
5.454 0.0 0.0 0.0
5.459 0.0 0.0 0.0
5.462 0.0 0.0 0.0
5.463 0.0 0.0 0.0
5.464 0.0 0.0 0.0
5.465 0.0 0.0 0.0
5.469 0.0 0.0 0.0
5.503 0.0 0.0 0.0
5.504 0.0 0.0 0.0
5.508 0.0 0.0 0.0
5.557 0.0 0.0 0.0
5.559 0.0 0.0 0.0
5.560 0.0 0.0 0.0
5.604 0.0 0.0 0.0
5.604 0.0 0.0 0.0
5.744 0.0 0.0 0.0
5.745 0.0 0.0 0.0
5.746 0.0 0.0 0.0
5.750 0.0 0.0 0.0
5.752 0.0 0.0 0.0
5.756 0.0 0.0 0.0
5.758 0.0 0.0 0.0
5.849 0.0 0.0 0.0
5.851 0.0 0.0 0.0
5.853 0.0 0.0 0.0
5.855 0.0 0.0 0.0
5.857 0.0 0.0 0.0
5.909 0.0 0.0 0.0
5.911 0.0 0.0 0.0
5.912 0.0 0.0 0.0
5.967 0.0 0.0 0.0
5.970 0.0 0.0 0.0
5.971 0.0 0.0 0.0
6.054 0.0 0.0 0.0
6.055 0.0 0.0 0.0
6.057 0.0 0.0 0.0
6.058 0.0 0.0 0.0
6.060 0.0 0.0 0.0
6.113 0.0 0.0 0.0
6.115 0.0 0.0 0.0
6.387 0.0 0.0 0.0
6.393 0.0 0.0 0.0
6.394 0.0 0.0 0.0
6.399 0.0 0.0 0.0
6.400 0.0 0.0 0.0
6.401 0.0 0.0 0.0
6.403 0.0 0.0 0.0
6.404 0.0 0.0 0.0
6.407 0.0 0.0 0.0
6.409 0.0 0.0 0.0
6.410 0.0 0.0 0.0
6.415 0.0 0.0 0.0
6.416 0.0 0.0 0.0
6.461 0.0 0.0 0.0
6.462 0.0 0.0 0.0
6.463 0.0 0.0 0.0
6.466 0.0 0.0 0.0
